"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"26",26,26,"WL","6/24/13","23:30","Night","Hypo",0,0,NA,NA,NA,NA,NA,4,5.96,7.5,0,0.403333333,0.001155549999045,106133.333333333,34933.3333333333,20133.3333333333,5533.33333333333,3400,0,0,0,0,0,0,0,0,0,0,NA
"27",27,27,"WL","6/4/13","23:30","Night","PML",21,1400,0.604,0,0,0.00495658112582782,0.00184373813259584,1,8.18,17.1,0,0.403333333,0.001155549999045,106133.333333333,71200,38400,22600,2533.33333333333,0,0,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.00518956643484111
"28",28,28,"WL","6/4/13","23:30","Night","Hypo",14,933.333333333333,NA,NA,NA,NA,NA,4,7.44,6.5,0,0.403333333,0.001155549999045,106133.333333333,34933.3333333333,20133.3333333333,5533.33333333333,3400,0,0,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,NA
"29",29,29,"WL","6/5/13","12:00","Day","PML",12,800,0.604,0,0,0.00495658112582782,0.00184373813259584,1,8.14,16.3,35.1066666666667,0.403333333,0.001155549999045,89400,73266.6666666667,48733.3333333333,7066.66666666667,12400,1895.76,0.417269757863686,0.00911770505764945,0.00910343011255532,0.00922696388526893,0.0103387678396914,0.0121917744303955,0.0152801187482358,0.0214568073839162,0.0708703164693597,0.00512766379628424
"30",30,30,"WL","6/5/13","12:00","Day","Hypo",13,866.666666666667,NA,NA,NA,NA,NA,4,7.8,6.8,0.68,0.403333333,0.001155549999045,89400,16133.3333333333,8933.33333333333,4133.33333333333,1733.33333333333,36.72,0.40417266443889,0.0538130796869633,0.0537996867908043,0.0539155874110297,0.0549586929930592,0.0566972022964415,0.0595947178020788,0.0653897488133534,0.11174999690355,NA
"31",31,31,"RB","6/6/13","12:00","Day","PML",0,0,1.15285714285714,0,0,0.00474903345724907,0.000566717589753071,1,8.7,15.4,214,0.769349299,0.002204185741635,380533.333333333,191066.666666667,2866.66666666667,59466.6666666667,40066.6666666667,11556,0.419670432837131,6.47085447633971e-06,0,2.93571197477207e-05,0.000293571197477207,0.000733927993693016,0.00146785598738603,0.00293571197477206,0.0146785598738603,0.00438339866172037
"32",32,32,"RB","6/6/13","12:00","Day","Hypo",0,0,1.34833333333333,NA,NA,0.00431041409147095,NA,4.5,3.26,6.6,0.493333333333333,0.769349299,0.002204185741635,380533.333333333,189466.666666667,5733.33333333333,85933.3333333333,26466.6666666667,26.64,0.401813152781354,5.93189130825244e-06,0,2.6911939389701e-05,0.00026911939389701,0.000672798484742526,0.00134559696948505,0.0026911939389701,0.0134559696948505,NA
"33",35,35,"BA","5/19/13","23:00","Night","PML",57,3800,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,0.75,9.35,16.4,0,0.769349299,0.002204185741635,290933.333333333,149466.666666667,2400,38933.3333333333,3333.33333333333,0,0,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,-0.00688176224329117
"34",36,36,"BA","5/19/13","23:00","Night","Hypo",18,1200,0.832,0,0,0.00587986595174263,0.000638387104693775,6,6.02,5.2,0,0.769349299,0.002204185741635,290933.333333333,141466.666666667,3400,43133.3333333333,1533.33333333333,0,0,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.0355056046652114
"35",37,37,"RB","6/6/13","23:30","Night","PML",66,4400,1.15285714285714,0,0,0.00474903345724907,0.000566717589753071,1,8.7,15.4,0,0.769349299,0.002204185741635,279266.666666667,196400,2666.66666666667,72866.6666666667,64066.6666666667,0,0,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.00438339866172037
