"","X","X.3","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","mu","growth"
"21",21,21,21,21,"BR","6/3/13","23:30","Night","PML",132,8800,1.1395,0.00112620452594477,0,0.0103021184730145,0.0017055863242452,1,8.34,17.7,0,2.02181170026431,0.0578035965105566,385666.666666667,321066.666666667,107933.333333333,145466.666666667,1066.66666666667,0,0,0,0.0413699485102921
"22",22,22,22,22,"BR","6/3/13","23:30","Night","Hypo",39,2600,2.606,0,0,0.0238414351496546,0.000391375661280153,3,2.11,13.3,0,2.02181170026431,0.0578035965105566,385666.666666667,64600,18800,24666.6666666667,466.666666666667,0,0,0,0.0247388166400502
"23",23,23,23,23,"BR","6/4/13","12:00","Day","PML",5,333.333333333333,1.1395,0.00112620452594477,0,0.0103021184730145,0.0017055863242452,1,8.65,16.8,193.01,2.02181170026431,0.0578035965105566,254933.333333333,182200,23533.3333333333,84666.6666666667,0,10422.54,0.419557970865211,0.000253163792555841,0.0409007091346884
"24",24,24,24,24,"BR","6/4/13","12:00","Day","Hypo",1,66.6666666666667,2.606,0,0,0.0238414351496546,0.000391375661280153,3,2.46,13.1,0,2.02181170026431,0.0578035965105566,254933.333333333,72733.3333333333,2066.66666666667,24000,0,0,0,0,0.0267474583536952
"25",25,25,25,25,"WL","6/24/13","23:30","Night","PML",9,600,0.604,0.00146898454391378,0,0.00495658112582782,0.00219813054798005,0.5,6.41,25.3,0,0,0,106133.333333333,71200,38400,22600,2533.33333333333,0,0,0,0.00479778372143196
"26",26,26,26,26,"WL","6/24/13","23:30","Night","Hypo",0,0,NA,NA,NA,NA,NA,4,5.96,7.5,0,0,0,106133.333333333,34933.3333333333,20133.3333333333,5533.33333333333,3400,0,0,0,NA
"27",27,27,27,27,"WL","6/4/13","23:30","Night","PML",21,1400,0.604,0,0,0.00495658112582782,0.00184373813259584,1,8.18,17.1,0,0,0,106133.333333333,71200,38400,22600,2533.33333333333,0,0,0,0.00511017222560136
"28",28,28,28,28,"WL","6/4/13","23:30","Night","Hypo",14,933.333333333333,NA,NA,NA,NA,NA,4,7.44,6.5,0,0,0,106133.333333333,34933.3333333333,20133.3333333333,5533.33333333333,3400,0,0,0,NA
"29",29,29,29,29,"WL","6/5/13","12:00","Day","PML",12,800,0.604,0,0,0.00495658112582782,0.00184373813259584,1,8.14,16.3,35.1066666666667,0,0,89400,73266.6666666667,48733.3333333333,7066.66666666667,12400,1895.76,0.417269757863686,0,0.00504759666417857
"30",30,30,30,30,"WL","6/5/13","12:00","Day","Hypo",13,866.666666666667,NA,NA,NA,NA,NA,4,7.8,6.8,0.68,0,0,89400,16133.3333333333,8933.33333333333,4133.33333333333,1733.33333333333,36.72,0.40417266443889,0,NA
