Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
30,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__030,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,030,BHD,black_bullhead
31,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__031,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,031,BHD,black_bullhead
32,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__032,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,032,BHD,black_bullhead
33,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__033,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,033,BHD,black_bullhead
34,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__034,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,034,BHD,black_bullhead
35,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__035,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,035,BHD,black_bullhead
36,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__036,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,036,BHD,black_bullhead
37,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__037,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,037,BHD,black_bullhead
38,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__038,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,038,BHD,black_bullhead
39,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__039,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,039,BHD,black_bullhead
