Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,GonadWeight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Gonad,Left_eye,Tissue,UseCPUE?,Fresh_frozen,Comments,MetaID,2nd Length,2nd weight,net_location
1007,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_026,"NC, EG",FN,fykenet_survey,19.5,trap_hours,026,BCP,,327,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1008,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_027,"NC, EG",FN,fykenet_survey,19.5,trap_hours,027,BCP,,223,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1011,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_030,"NC, EG",FN,fykenet_survey,19.5,trap_hours,030,BCP,,335,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1012,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_031,"NC, EG",FN,fykenet_survey,19.5,trap_hours,031,BCP,,290,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1013,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_032,"NC, EG",FN,fykenet_survey,19.5,trap_hours,032,BCP,,306,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1016,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_035,"NC, EG",FN,fykenet_survey,19.5,trap_hours,035,BCP,,276,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1017,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_036,"NC, EG",FN,fykenet_survey,19.5,trap_hours,036,BCP,,327,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1019,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_038,"NC, EG",FN,fykenet_survey,19.5,trap_hours,038,BCP,,278,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1031,TF,FN1.TF,2013-05-24,2013-05-25,2013-05-24 16:30,2013-05-25 12:00,TF_FN1.TF_20130525_1200_FN_GonadSurvey.20130509,TF_FN1.TF_20130525_1200_FN_GonadSurvey.20130509_006,"KR, Lisa",FN,fykenet_survey,19.5,trap_hours,006,BCP,,165,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1198,TF,FN3.TF,2013-05-24,2013-05-25,2013-05-24 16:30,2013-05-25 11:30,TF_FN3.TF_20130525_1130_FN_GonadSurvey.20130509,TF_FN3.TF_20130525_1130_FN_GonadSurvey.20130509_002,"KR, Lisa",FN,fykenet_survey,19,trap_hours,002,BCP,,155,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1340,HE,FN1.HE,2013-05-29,2013-05-30,2013-05-29 18:30,2013-05-30 11:00,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509_001,"NC, KR",FN,fykenet_survey,16.5,trap_hours,001,BCP,,89,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,north_east_shore
1347,HE,FN1.HE,2013-05-29,2013-05-30,2013-05-29 18:30,2013-05-30 11:00,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509_008,"NC, KR",FN,fykenet_survey,16.5,trap_hours,008,BCP,,228,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,north_east_shore
1349,HE,FN1.HE,2013-05-29,2013-05-30,2013-05-29 18:30,2013-05-30 11:00,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509_010,"NC, KR",FN,fykenet_survey,16.5,trap_hours,010,BCP,,91,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,north_east_shore
1350,HE,FN1.HE,2013-05-29,2013-05-30,2013-05-29 18:30,2013-05-30 11:00,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509,HE_FN1.HE_20130530_1100_FN_GonadSurvey.20130509_011,"NC, KR",FN,fykenet_survey,16.5,trap_hours,011,BCP,,91,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,north_east_shore
1499,HE,FN1.HE,2013-05-30,2013-05-31,2013-05-30 11:00,2013-05-31 10:30,HE_FN1.HE_20130531_1030_FN_GonadSurvey.20130509,HE_FN1.HE_20130531_1030_FN_GonadSurvey.20130509_002,"NC, KR",FN,fykenet_survey,23.5,trap_hours,002,BCP,,212,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,north_east_shore
1503,HE,FN1.HE,2013-05-30,2013-05-31,2013-05-30 11:00,2013-05-31 10:30,HE_FN1.HE_20130531_1030_FN_GonadSurvey.20130509,HE_FN1.HE_20130531_1030_FN_GonadSurvey.20130509_006,"NC, KR",FN,fykenet_survey,23.5,trap_hours,006,BCP,,84,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,north_east_shore
1813,ER,FN4.ER,2013-06-02,2013-06-03,2013-06-02 16:45,2013-06-03 10:45,ER_FN4.ER_20130603_1045_FN_GonadSurvey.20130509,ER_FN4.ER_20130603_1045_FN_GonadSurvey.20130509_001,"NC, KR",FN,fykenet_survey,18,trap_hours,001,BCP,,75,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,west_by_landing
1815,ER,FN4.ER,2013-06-02,2013-06-03,2013-06-02 16:45,2013-06-03 10:45,ER_FN4.ER_20130603_1045_FN_GonadSurvey.20130509,ER_FN4.ER_20130603_1045_FN_GonadSurvey.20130509_003,"NC, KR",FN,fykenet_survey,18,trap_hours,003,BCP,,73,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,west_by_landing
1822,BV,FN3.BV,2013-06-02,2013-06-03,2013-06-02 16:00,2013-06-03 10:00,BV_FN3.BV_20130603_1000_FN_GonadSurvey.20130509,BV_FN3.BV_20130603_1000_FN_GonadSurvey.20130509_001,"NC, KR",FN,fykenet_survey,18,trap_hours,001,BCP,,72,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,east_shore
1826,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_003,"NC, KR",FN,fykenet_survey,17.5,trap_hours,003,BCP,,220,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1827,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_004,"NC, KR",FN,fykenet_survey,17.5,trap_hours,004,BCP,,219,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1833,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_010,"NC, KR",FN,fykenet_survey,17.5,trap_hours,010,BCP,,232,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1834,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_011,"NC, KR",FN,fykenet_survey,17.5,trap_hours,011,BCP,,200,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1839,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_016,"NC, KR",FN,fykenet_survey,17.5,trap_hours,016,BCP,,209,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1842,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_019,"NC, KR",FN,fykenet_survey,17.5,trap_hours,019,BCP,,194,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1846,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_023,"NC, KR",FN,fykenet_survey,17.5,trap_hours,023,BCP,,220,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
